INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,seed,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods,OracleTruth
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123468,2.63498060385285,2.6600369013257,2.65849912709199,2.65671427092359,2.66045257914324,2.65669361665921,2.65872098618788,2.6588806420816,2.76227841056243
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123469,2.75926481871457,2.78063457895713,2.78499714324038,2.77974270495135,2.78372378333132,2.77996881530849,2.78210277764511,2.78228541969649,2.86916807768024
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123470,2.61825830715023,2.64378690088465,2.6432691016557,2.64002915279618,2.64417549876939,2.64029272132265,2.64249325945446,2.64280349641737,2.72822066355296
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123471,2.77993196684394,2.81575125616893,2.81260203688118,2.80584515119414,2.80944385109731,2.80644223736216,2.80814895286963,2.81047766687584,2.89347294647455
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123472,2.7393741363392,2.77962840447999,2.76987768863869,2.76097480249156,2.76695222023411,2.76323024626446,2.76519006413727,2.7689757247509,2.84639406872981
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123473,2.71663514914815,2.7501469534353,2.74520242416654,2.74159548641973,2.74685976807406,2.74213159747288,2.74525514124533,2.74591917687882,2.8279356587433
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123474,2.76520387914667,2.79370070107,2.79317610037959,2.78882914778103,2.79466672178359,2.79099835188784,2.79284851107618,2.79307807723944,2.87277352396993
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123475,2.71239287017431,2.7389764085566,2.74129465640841,2.73679165235805,2.74367564693509,2.73961206773632,2.7420249108319,2.74111673809366,2.81705979100345
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123476,2.90369742785842,2.92824774321457,2.93973749592534,2.9299768286373,2.93517691476952,2.93080686144042,2.93339833329262,2.93347346972849,3.03197542375247
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123477,2.72233765054003,2.73763709007855,2.74747485149496,2.74755280765084,2.75214190177975,2.7485790731086,2.75023081270702,2.74721274583378,2.84907831967978
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123468,2.61456458005956,2.66487853550415,2.6616171966244,2.65688984796522,2.66426465694921,2.66032924988518,2.66248516674198,2.66271496114099,2.86208748649857
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123469,2.78774854908397,2.83268783146091,2.83868748746676,2.82904307011453,2.83696597136519,2.83309089587629,2.83532217729355,2.83535087269254,3.01855764955802
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123470,2.58784344573929,2.63842653327786,2.63765459105242,2.63083912367523,2.63913483910892,2.63509571526943,2.63738549421537,2.6375394345848,2.80990009772656
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123471,2.81902766638012,2.88828670404053,2.88362581888725,2.87188374207707,2.87910801800147,2.87624464722763,2.87791904393246,2.88103684641787,3.06029998888284
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123472,2.76079065337064,2.84038282537369,2.82357424666648,2.8064034729961,2.81879511120526,2.81490357156467,2.81693686607855,2.82291852417773,2.98152634138698
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123473,2.73049195215801,2.79774684323785,2.78928790905768,2.78080645945252,2.79165342055104,2.78629388158172,2.79002349463068,2.7910011098118,2.95845211370233
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123474,2.79646280205117,2.85432507658421,2.85376363350777,2.84412224169846,2.8561442038353,2.85237634488966,2.85419657240186,2.85416116624376,3.0166117030988
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123475,2.72284388446567,2.78133304949583,2.78320914615398,2.77254823873892,2.78650919480272,2.78207676267146,2.78480916459478,2.78358746354375,2.94035707313208
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123476,2.99875863206706,3.05151964800827,3.06966136819347,3.05256298534984,3.06296233679592,3.05818094594181,3.0610892339373,3.06068270657535,3.26601751722317
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123477,2.737044687092,2.77712000320612,2.79075863963482,2.78827293182144,2.79771711946603,2.79409650821556,2.79565422368491,2.79106929884149,2.99668543342646
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123468,2.65412922969209,2.67624995324055,2.68928400389223,2.68244371860913,2.68685379622777,2.68542410064135,2.68594985232182,2.68475234126474,2.76227841056243
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123469,2.76969281381011,2.79083261454725,2.80846831798659,2.80641964192027,2.81141615337829,2.80983371643422,2.81053553193532,2.80621726685633,2.86916807768024
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123470,2.62471467914986,2.66032938570494,2.65388177840172,2.65392177808743,2.65828952622283,2.65691631593261,2.65755167666708,2.65739373658584,2.72822066355296
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123471,2.78712887602194,2.83600138451149,2.8265263670243,2.81821256132284,2.82307512050941,2.82102192089278,2.82232454792437,2.82578986817247,2.89347294647455
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123472,2.75140243007957,2.80199485828981,2.80188962991232,2.78881569947099,2.79689902299613,2.79485986636348,2.79611643802747,2.79835196311784,2.84639406872981
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123473,2.73100661762781,2.77673461714324,2.77157568552917,2.76711961838914,2.77110764479749,2.76894166928903,2.77024834169539,2.77172159169086,2.8279356587433
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123474,2.76962658351107,2.77936459838482,2.79594619272415,2.79335098175954,2.79783169628048,2.79626625603332,2.79692054039428,2.79326585676341,2.87277352396993
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123475,2.71479953763959,2.73867037318593,2.75014759635348,2.74734348951753,2.75475796794988,2.752498945766,2.75400436509246,2.75001584966955,2.81705979100345
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123476,2.91495297105472,2.9449588534505,2.95962607095114,2.94985021927234,2.95466926743013,2.95271456546338,2.95381549799458,2.95315685105795,3.03197542375247
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123477,2.73175277747087,2.75459401426561,2.75797373860388,2.75901725786752,2.7619677719468,2.76059372052421,2.76115939361852,2.7592577277918,2.84907831967978
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123468,2.64660959698275,2.69557815435819,2.71575856721518,2.70316622374835,2.71189246474792,2.71056695503817,2.71093640943187,2.70894651015827,2.86208748649857
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123469,2.81148915041684,2.86867949034128,2.89268318606566,2.88682773293192,2.89688270324489,2.89528071116889,2.89594997674667,2.88989521351348,3.01855764955802
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123470,2.60249830822675,2.67223040792855,2.66253932537907,2.66090176164684,2.66977629129245,2.66852318580643,2.66904419684697,2.66842268145069,2.80990009772656
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123471,2.834608702381,2.92714355294514,2.91220589788239,2.89774023951222,2.90766350004668,2.90538427613245,2.90691507579772,2.91186246056088,3.06029998888284
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123472,2.78648712325657,2.89482745005547,2.89357537419495,2.8668122122627,2.88426442487905,2.88187290969549,2.8834631975406,2.88760067127311,2.98152634138698
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123473,2.75865413632222,2.84898859212866,2.8399930613367,2.83097134772286,2.83928599879897,2.83683641920963,2.83838684826324,2.84069818394744,2.95845211370233
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123474,2.80567758371339,2.83569307014272,2.85939241773669,2.85351841976801,2.86274950866602,2.86121241903978,2.86177479015945,2.85616444114893,3.0166117030988
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123475,2.7314494856752,2.78840013775803,2.80525207048243,2.79675242564191,2.81190799305009,2.80933514277749,2.81114807587602,2.80520868398881,2.94035707313208
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123476,3.02135794192402,3.08887903810071,3.108717254267,3.0920005102021,3.10162249301943,3.09949267210452,3.10072904560064,3.09988810061846,3.26601751722317
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,123477,2.75437738857443,2.80722081676722,2.80976081047988,2.81000397244223,2.81605260785591,2.81480619366496,2.81523269640502,2.8126146250346,2.99668543342646
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123468,2.62953843947227,2.65660943724095,2.65841926255679,2.65623812084882,2.66273270243827,2.64320504236006,2.65987531052093,2.6561683510234,2.77635331320163
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123469,2.73658959656478,2.76104697805084,2.76277649127502,2.75529494203699,2.76044836635091,2.74039019142614,2.7578496791915,2.75650234125888,2.82362061303364
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123470,2.64467182227015,2.66934540331642,2.66613591218357,2.66523119289506,2.67206075993043,2.65219034726546,2.66911002641671,2.66576848982252,2.75672211107498
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123471,2.70900871210057,2.72899345404161,2.73002221132056,2.72752820300795,2.73195336307557,2.71351050173548,2.72964406396686,2.72682471882802,2.80344273054438
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123472,2.67728949428325,2.73073605388702,2.70716365733624,2.70180003342751,2.70900514447465,2.68930199650785,2.70654426381464,2.70855022320408,2.75557287880192
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123473,2.76399643098349,2.79093976356227,2.79123826533622,2.78368488659619,2.78882196741661,2.76787385695852,2.78658684063761,2.78509213878225,2.93021183690402
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123474,2.7533533628277,2.78697698528989,2.78234955359587,2.77794510817667,2.78405810740686,2.76435991268731,2.78159829416354,2.77986857062869,2.8516657423261
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123475,2.68575808850422,2.73421638947609,2.71117530895737,2.71253500815149,2.71921588430105,2.69942957803198,2.71674355904674,2.71615614396265,2.78095057287887
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123476,2.9206684183229,2.96213677727983,2.97353221092703,2.95213673833953,2.95986816908716,2.93845261128563,2.95680501820757,2.95815895735745,3.03314377781989
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123477,2.75599866822973,2.76104534162792,2.78130298967874,2.7838073105363,2.78957188123092,2.77027048849962,2.78690788497724,2.77781971720289,2.905603854745
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123468,2.61182245561237,2.67215902298466,2.67179322703228,2.66375866912454,2.67651648668756,2.65655799158682,2.67352337314871,2.670110020288,2.88969202567282
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123469,2.75298547926182,2.80074161239595,2.80363200367938,2.79052283320324,2.80075529077442,2.78015723229034,2.79812818046165,2.79668286392035,2.95042726092079
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123470,2.62591440955178,2.67582082841588,2.67182972728028,2.66660219378577,2.6804191336257,2.66009133198399,2.6772513175121,2.67308246776359,2.85220842795861
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123471,2.71720110574724,2.76041585824351,2.76126818963595,2.75489223362249,2.76377126669951,2.74534285262108,2.76153520973657,2.75846667538732,2.9215221474792
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123472,2.67353263045133,2.77642159076169,2.7370226538218,2.72443439612841,2.7389806585108,2.71876545743697,2.73657889543847,2.74155385119395,2.84446985192322
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123473,2.79597396049793,2.85019265854549,2.84914497810885,2.83595225176084,2.84640983410389,2.82439519689078,2.84428563123193,2.84288565977618,3.115429331863
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123474,2.77910917641819,2.84626291814052,2.83904615558457,2.82860189871964,2.84084016113105,2.82065600672812,2.83839348310944,2.83703974493874,2.98363954185598
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123475,2.68505354176903,2.77861275056553,2.74140149183052,2.73950754794275,2.75310799757022,2.73272697976213,2.75064379762718,2.75129860347112,2.88273774836711
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123476,3.02555993548123,3.10728367148812,3.12609830475257,3.08968740451613,3.10542908779491,3.08283268435838,3.10211048959165,3.10475084759712,3.26459746969324
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123477,2.78623461607785,2.81532132096389,2.84340113237894,2.8432917929164,2.85498320500031,2.83542860509695,2.85222905951857,2.84027266459173,3.0861829261776
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123468,2.66791914280726,2.70084747523806,2.71581899835053,2.70198841530098,2.70906098829791,2.71074984602381,2.70800910553753,2.70889728268957,2.77635331320163
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123469,2.75790499940293,2.78271475026242,2.80370366108323,2.79205227288625,2.80076044488986,2.80165027685514,2.79959715790926,2.79768525819998,2.82362061303364
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123470,2.66314656021972,2.68184789693631,2.68705772133463,2.68824779709371,2.69697389656326,2.69757649499548,2.69601447852207,2.69189409767035,2.75672211107498
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123471,2.71743710226436,2.76446737106439,2.74916816979346,2.74464281536031,2.75239073122262,2.75330188106344,2.75146459732955,2.75415855009469,2.80344273054438
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123472,2.66263615601677,2.67712749381191,2.68500827367075,2.68772453866911,2.69832314755927,2.6988031527879,2.69726065877732,2.69130454532143,2.75557287880192
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123473,2.80020681029968,2.86017294860261,2.8456202694018,2.8292098642025,2.83589357976899,2.83606753194131,2.83499688702915,2.84255024334877,2.93021183690402
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123474,2.76570710805171,2.78438724305794,2.79214135109773,2.78649568289303,2.79359575988871,2.7943390018433,2.79254582975689,2.79140183712892,2.8516657423261
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123475,2.69830812147833,2.71248824611034,2.73783123252073,2.7368977214762,2.74620234384374,2.74715951328395,2.74525544435481,2.73778735602271,2.78095057287887
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123476,2.92619042866774,2.94977563727266,2.97039195045751,2.95794446190011,2.96306375563163,2.96411329827283,2.96194796517635,2.9618585213622,3.03314377781989
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123477,2.772972984362,2.80164716663582,2.80341640075441,2.80534960144301,2.80963264427621,2.81039318874672,2.80875396505773,2.80676867309418,2.905603854745
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123468,2.67288404569341,2.74343547586034,2.76761912179986,2.74191017883659,2.75616812550034,2.75825689971758,2.75505192620091,2.7561063098158,2.88969202567282
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123469,2.79050345708032,2.85264896973639,2.882107087791,2.86111659997322,2.87849504953277,2.87932567652261,2.8772203462107,2.87395942595869,2.95042726092079
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123470,2.65792478741048,2.70399697800692,2.71081564978136,2.70801733099409,2.72597903268799,2.72649818425514,2.72499062998452,2.71845609494319,2.85220842795861
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123471,2.73375770657214,2.82185015774677,2.79856913950669,2.7883915963047,2.80388175084055,2.80479589008576,2.80294688762768,2.80640876516149,2.9215221474792
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123472,2.65622671008728,2.69908161325806,2.70998970138242,2.70708017591477,2.73035913807467,2.7305707222519,2.72919834934406,2.71983990486222,2.84446985192322
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123473,2.85652718916098,2.96174601913966,2.94065072376636,2.91389670417012,2.92747407485682,2.92735725249753,2.92659909626064,2.9367654333042,3.115429331863
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123474,2.79879963593824,2.8424312325659,2.85375704752197,2.84111435488554,2.85538966273556,2.85604960568763,2.85429325655524,2.85238416101326,2.98363954185598
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123475,2.71016981552448,2.75747959664253,2.79463404261013,2.78772301895129,2.80675028736765,2.80769416983041,2.80576293656375,2.79446420660289,2.88273774836711
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123476,3.03780774508874,3.09390601406955,3.12416559210936,3.10351689613452,3.11397550713519,3.11508840356159,3.11276622437709,3.11198034825056,3.26459746969324
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,123477,2.81587690210085,2.88266427429221,2.8829442023796,2.88377019407163,2.89225693739958,2.89300855193997,2.89140785525786,2.88845636425384,3.0861829261776
